ADDRESS,CAMERA_ID,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
324 E ILLINOIS ST,CHI126,04/17/2019,3,1178721.705071304,1903728.729069971,41.891134484,-87.61908944,"(41.89113448402406, -87.61908943995478)",22,21182,37,159,36
324 S KEDZIE AVE,CHI123,04/17/2019,6,1155057.768104626,1898246.715441378,41.876598942,-87.706142679,"(41.87659894232968, -87.70614267856668)",11,21572,28,765,23
3450 W 71ST,CHI015,04/17/2019,14,1154377.983623192,1857351.590718894,41.764390957,-87.70972842,"(41.76439095689881, -87.70972841983624)",6,21867,64,383,31
3535 E 95TH ST,CHI140,04/17/2019,4,1201486.255858151,1842590.389225195,41.722818322,-87.537567465,"(41.722818322421595, -87.53756746533104)",47,21202,49,528,47
3542 E 95TH ST,CHI141,04/17/2019,6,1201629.279994198,1842674.179369794,41.72304462,-87.537040758,"(41.72304461975978, -87.5370407583455)",47,21202,49,705,47
3646 W MADISON,CHI009,04/17/2019,33,1151844.874455435,1899804.753327747,41.880938186,-87.717898449,"(41.88093818643283, -87.71789844857646)",11,21572,28,704,23
3655 W JACKSON,CHI008,04/17/2019,18,1151781.484945551,1898394.967222984,41.877070828,-87.718168316,"(41.87707082846323, -87.71816831641307)",11,21572,28,704,23
3843 S WESTERN,CHI007,04/17/2019,75,1161037.665305821,1878964.291316377,41.823563957,-87.684721126,"(41.82356395744577, -87.68472112618639)",29,14924,56,2,1
3911 W DIVERSEY AVE,CHI177,04/17/2019,3,1149782.573407406,1918290.453029553,41.931705097,-87.724989739,"(41.93170509746654, -87.72498973945363)",27,22535,23,107,17
4042 W NORTH AVE,CHI161,04/17/2019,14,1149005.647148129,1910365.150873238,41.909972425,-87.72805041,"(41.90997242450237, -87.72805040969816)",27,22615,24,285,49
4053 W NORTH AVE,CHI159,04/17/2019,8,1148866.623755592,1910281.53833667,41.909745674,-87.728563295,"(41.90974567444195, -87.72856329512945)",27,22615,24,286,49
4123 N CENTRAL AVE,CHI049,04/17/2019,5,1138310.38101538,1926965.395448081,41.955725645,-87.766938123,"(41.95572564479322, -87.76693812345056)",25,22618,15,260,19
4124 W FOSTER AVE,CHI003,04/17/2019,87,1147852.58857067,1934274.994738347,41.975605302,-87.731669795,"(41.97560530194193, -87.73166979484374)",28,21869,13,748,38
4432 N LINCOLN,CHI056,04/17/2019,2,1160697.51043315,1929507.413867631,41.96226556,-87.684566996,"(41.96226556022151, -87.68456699562915)",13,21849,6,667,18
4433 N WESTERN,CHI055,04/17/2019,9,1159610.141634439,1929516.781948006,41.962313789,-87.688564554,"(41.96231378868856, -87.68856455418805)",13,21849,6,667,18
4436 N WESTERN,CHI094,04/17/2019,5,1159528.872859255,1929555.550585484,41.96242185,-87.688862275,"(41.9624218495406, -87.68886227502836)",13,21849,6,621,18
445 W 127TH,CHI045,04/17/2019,103,1175468.445851752,1820629.228565181,41.663174059,-87.633520452,"(41.663174059325534, -87.63352045241697)",30,21861,50,7,43
449 N COLUMBUS DR,CHI124,04/17/2019,6,1178428.35425324,1903326.613409231,41.890037755,-87.620179034,"(41.89003775504898, -87.62017903427099)",22,21182,37,159,36
450 N COLUMBUS DR,CHI125,04/17/2019,27,1178351.216208364,1903356.801857411,41.890122353,-87.620461395,"(41.890122352505166, -87.62046139513696)",22,21182,37,159,36
4620 W BELMONT AVE,CHI086,04/17/2019,5,1144830.583591838,1920910.013194031,41.938988391,-87.743121423,"(41.938988390759555, -87.74312142256439)",27,22618,15,115,21
4831 W LAWRENCE AVE,CHI147,04/17/2019,40,1143137.859882784,1931435.232520927,41.967902328,-87.749078977,"(41.96790232791309, -87.74907897663441)",20,21869,15,259,50
4909 N CICERO AVE,CHI149,04/17/2019,87,1143500.84164955,1932251.246745402,41.970134736,-87.747723797,"(41.970134735816295, -87.7477237971432)",28,21869,14,751,38
506 S CENTRAL AVE,CHI130,04/17/2019,3,1139100.738201602,1897035.93011447,41.873581418,-87.764761968,"(41.87358141810132, -87.7647619684764)",52,22216,26,67,7
5120 N PULASKI,CHI004,04/17/2019,32,1148759.385878875,1933817.599837362,41.974332655,-87.728347022,"(41.97433265461055, -87.72834702238127)",28,21869,13,748,38
515 S CENTRAL AVE,CHI057,04/17/2019,3,1139183.475728338,1896944.581182828,41.87332924,-87.764460415,"(41.873329240103914, -87.76446041521123)",52,22216,26,68,7
5330 S COTTAGE GROVE,CHI013,04/17/2019,37,1182452.725004514,1869711.793547827,41.797703886,-87.606444779,"(41.79770388561477, -87.60644477865196)",1,22260,7,401,10
536 E MORGAN DR,CHI029,04/17/2019,121,1180984.656814868,1868164.766433233,41.793492646,-87.61187597,"(41.793492645896656, -87.6118759701359)",53,22260,7,401,4
5420 S RACINE AVE,CHI118,04/17/2019,6,1169208.608674489,1868739.470226128,41.795332775,-87.655040979,"(41.795332774848234, -87.65504097855228)",19,14924,59,790,4
5432 W LAWRENCE,CHI103,04/17/2019,3,1139099.594130043,1931391.06349442,41.96785573,-87.763928644,"(41.96785573012919, -87.76392864369929)",20,21869,11,129,50
5454 W IRVING PARK,CHI050,04/17/2019,26,1139042.659337997,1926097.062423206,41.953329545,-87.764267264,"(41.95332954454448, -87.76426726425451)",25,22618,15,260,19
5471 W HIGGINS,CHI102,04/17/2019,15,1139071.529638349,1931897.937514376,41.969247149,-87.764019451,"(41.96924714863934, -87.76401945149458)",20,21869,11,129,50
57 E 95TH,CHI035,04/17/2019,1,1178586.98154429,1841966.713809109,41.721657133,-87.621462899,"(41.72165713317433, -87.62146289865515)",31,21546,45,567,43
5816 W JACKSON,CHI058,04/17/2019,75,1137564.894528388,1898340.606160034,41.877189405,-87.770369502,"(41.87718940463045, -87.7703695017756)",52,22216,26,67,7
5885 N RIDGE AVE,CHI093,04/17/2019,15,1165004.033252215,1939248.352982784,41.988904472,-87.668455725,"(41.988904472466494, -87.66845572473223)",40,4451,76,539,16
6226 W IRVING PARK RD,CHI083,04/17/2019,32,1133995.169966259,1925971.269149065,41.953074826,-87.782825538,"(41.95307482555687, -87.78282553773761)",25,22254,15,131,19
6247 W FULLERTON,CHI039,04/17/2019,3,1134158.281732405,1915236.510832825,41.923614583,-87.78247949,"(41.9236145831186, -87.78247948955652)",52,22615,19,77,44
6250 W FULLERTON,CHI040,04/17/2019,8,1134113.48240834,1915315.343641525,41.923831699,-87.782642242,"(41.92383169923362, -87.78264224184598)",52,22615,19,78,21
62 E 95TH,CHI036,04/17/2019,5,1178615.953706068,1842047.62197816,41.721878498,-87.621354328,"(41.72187849819265, -87.62135432849777)",31,21546,45,554,43
6443 W BELMONT AVE,CHI105,04/17/2019,1,1132715.909031448,1920535.619102073,41.938181259,-87.787655485,"(41.938181258548575, -87.78765548502582)",39,22254,19,137,44
6514 W BELMONT AVE,CHI106,04/17/2019,3,1132317.345183897,1920604.474994752,41.938377159,-87.789118713,"(41.93837715933998, -87.78911871294291)",39,22254,17,396,44
6523 N WESTERN,CHI051,04/17/2019,26,1159169.452277881,1943341.864659956,42.000259511,-87.689802909,"(42.00025951144952, -87.68980290863908)",42,22528,20,320,27
6818 S KEDZIE,CHI018,04/17/2019,29,1156183.4762995,1859144.993983757,41.769276221,-87.703062595,"(41.769276221338444, -87.70306259506)",6,21867,64,383,31
6909 S KEDZIE,CHI014,04/17/2019,33,1156276.17519456,1858582.894182457,41.767731869,-87.702737907,"(41.76773186901884, -87.70273790708362)",6,21867,64,383,31
7422 S JEFFERY,CHI101,04/17/2019,2,1190789.832029907,1856045.670402868,41.760005505,-87.576312983,"(41.760005504685466, -87.57631298283938)",9,22538,39,419,35
8020 W FOREST PRESERVE AV,CHI174,04/17/2019,117,1121895.053321304,1922705.871637924,41.944318833,-87.827378279,"(41.944318833069445, -87.8273782786742)",39,22254,17,413,19
8043 W ADDISON ST,CHI175,04/17/2019,6,1121638.497581711,1922906.537665389,41.944873638,-87.828316944,"(41.94487363802818, -87.82831694409394)",39,22254,17,413,19
8318 S ASHLAND AVE,CHI169,04/17/2019,23,1167083.227060742,1849460.261274806,41.742473855,-87.66338548,"(41.74247385456547, -87.66338547998558)",6,21554,70,532,13
8345 S ASHLAND AVE,CHI168,04/17/2019,18,1167170.493634396,1849194.116924465,41.741741651,-87.663073329,"(41.741741651401504, -87.66307332925098)",18,21554,70,531,13
9618 S EWING AVE,CHI142,04/17/2019,21,1202074.876819482,1841844.576675849,41.720756806,-87.535436787,"(41.72075680558273, -87.53543678735923)",47,21202,49,528,47
10318 S INDIANAPOLIS,CHI120,04/16/2019,108,1203645.368140905,1837056.144574041,41.707576903,-87.529848261,"(41.70757690291348, -87.52984826112849)",47,21202,49,705,47
1142 W IRVING PARK,CHI095,04/16/2019,55,1167789.528738809,1926747.106564999,41.954540866,-87.658572521,"(41.95454086624301, -87.65857252142276)",37,21186,31,241,39
115 N OGDEN,CHI077,04/16/2019,34,1166484.901862159,1900735.486524538,41.883191521,-87.6641147,"(41.883191521391076, -87.66411469955516)",41,14917,29,63,46
1315 W GARFIELD BLVD,CHI121,04/16/2019,30,1168444.530011629,1868118.434806125,41.793645091,-87.657860764,"(41.793645091444645, -87.6578607639445)",19,22257,65,297,2
1334 W GARFIELD BLVD,CHI119,04/16/2019,6,1168211.288538348,1868328.465645528,41.794226466,-87.658709999,"(41.79422646635146, -87.65870999891658)",19,14924,59,790,4
140 N ASHLAND,CHI076,04/16/2019,12,1165683.996995108,1901211.265605895,41.884514197,-87.667042094,"(41.88451419700416, -87.66704209415728)",41,21184,29,579,46
141 N ASHLAND,CHI075,04/16/2019,7,1165763.976938881,1901213.056860738,41.884517408,-87.666748347,"(41.88451740794813, -87.66674834697315)",41,14917,29,63,46
1444 W DIVISION ST,CHI183,04/16/2019,27,1166380.904932347,1908131.72173424,41.903489549,-87.664284801,"(41.90348954857849, -87.66428480094734)",24,22620,25,483,11
1455 W DIVISION ST,CHI182,04/16/2019,95,1166307.374769345,1908050.267817099,41.903267607,-87.664557225,"(41.9032676068914, -87.66455722501276)",41,22620,25,484,46
14 W CHICAGO AVE,CHI139,04/16/2019,4,1176065.949659871,1905763.820506745,41.896779127,-87.628781249,"(41.89677912747405, -87.6287812485988)",22,4446,37,230,11
1507 W 83rd ST,CHI170,04/16/2019,2,1167695.170326354,1849654.229221654,41.742993035,-87.66113776,"(41.742993034938884, -87.66113775973551)",18,21554,70,531,13
1754 N PULASKI RD,CHI157,04/16/2019,16,1149394.77705002,1911607.800369421,41.913374831,-87.7265886,"(41.91337483050126, -87.72658859994081)",27,22615,24,285,49
1901 E 75TH ST,CHI138,04/16/2019,28,1190192.110150425,1855579.523137741,41.75874077,-87.57851859,"(41.758740770124234, -87.57851859043261)",9,22538,39,188,35
2080 W PERSHING,CHI005,04/16/2019,3,1163048.143263149,1878842.85060012,41.823188825,-87.677348795,"(41.823188824691925, -87.67734879498818)",26,14924,56,719,1
2416 W 103RD ST,CHI154,04/16/2019,12,1161995.609362911,1836307.312617193,41.706487201,-87.682391059,"(41.70648720051648, -87.68239105927896)",33,4447,71,661,42
2417 W 103RD ST,CHI165,04/16/2019,4,1161996.101263966,1836227.314129496,41.706267661,-87.682391472,"(41.70626766073214, -87.68239147238012)",33,4447,71,553,42
2432 N ASHLAND,CHI092,04/16/2019,7,1165215.788124507,1916401.754298868,41.926207903,-87.668328977,"(41.92620790295943, -87.66832897708693)",16,21190,68,743,40
2443 N ASHLAND,CHI091,04/16/2019,28,1165293.159880782,1916479.221767233,41.926418831,-87.668042465,"(41.926418831263994, -87.66804246498943)",16,21190,68,770,40
2448 N CLYBOURN AVE,CHI090,04/16/2019,9,1164505.928359546,1916376.376809816,41.926153343,-87.670938087,"(41.926153342916486, -87.67093808722792)",16,21190,68,743,40
2513 W 55TH,CHI070,04/16/2019,11,1160431.748869934,1868077.674728872,41.793702249,-87.687244272,"(41.79370224937009, -87.68724427195639)",19,22248,61,112,3
2550 W 79TH,CHI067,04/16/2019,5,1160502.556225173,1852230.031732533,41.750212593,-87.687421063,"(41.75021259302275, -87.6874210628529)",6,4300,69,498,30
2603 W 79TH,CHI066,04/16/2019,3,1160350.070879175,1852097.826068973,41.74985294,-87.687983475,"(41.749852940263196, -87.68798347502599)",6,4300,69,243,30
2705 W IRVING PARK,CHI079,04/16/2019,59,1157555.242825448,1926426.21147583,41.953875265,-87.696204089,"(41.95387526461699, -87.69620408862693)",2,21538,16,372,20
2712 W IRVING PARK,CHI080,04/16/2019,11,1157447.913673397,1926504.636730878,41.954092657,-87.696596502,"(41.954092657149786, -87.6965965016668)",2,21538,16,116,20
2900 W OGDEN,CHI021,04/16/2019,68,1157135.919535262,1892361.67589724,41.860407864,-87.698672099,"(41.86040786445197, -87.69867209877323)",36,21569,30,132,14
2912 W ROOSEVELT,CHI020,04/16/2019,23,1157040.212662274,1894612.12813304,41.866585283,-87.698962375,"(41.86658528313424, -87.69896237494204)",11,21184,30,35,23
2917 W ROOSEVELT,CHI019,04/16/2019,53,1156991.618473341,1894531.138408719,41.866364024,-87.699142966,"(41.866364024167034, -87.69914296647906)",36,21569,30,132,14
2928 S HALSTED,CHI117,04/16/2019,7,1171407.142701029,1885330.617606942,41.840812626,-87.64649261,"(41.84081262592384, -87.64649261049526)",26,14920,58,59,48
3034 W FOSTER,CHI025,04/16/2019,4,1155157.924620047,1934429.028230766,41.97588404,-87.704801123,"(41.9758840401294, -87.70480112338926)",46,21849,13,167,24
3047 W JACKSON BLVD,CHI122,04/16/2019,8,1155924.803933969,1898487.691160325,41.877242774,-87.702952689,"(41.877242773826396, -87.7029526885659)",11,21184,28,737,23
3100 W AUGUSTA,CHI011,04/16/2019,17,1155438.362612354,1906531.350675229,41.899325141,-87.704522346,"(41.89932514072566, -87.70452234551168)",10,21560,25,301,49
3115 N NARRAGANSETT AVE,CHI104,04/16/2019,3,1133239.690118249,1920090.5748641,41.936950842,-87.785740891,"(41.93695084197675, -87.78574089058974)",39,22254,19,81,44
3116 N NARRAGANSETT AVE,CHI132,04/16/2019,3,1133159.075197319,1920109.559372899,41.93700435,-87.786036722,"(41.93700435024341, -87.78603672187927)",39,22254,19,137,44
3137 W PETERSON,CHI024,04/16/2019,33,1154183.287274807,1939668.834930217,41.990281914,-87.708244626,"(41.9902819135942, -87.70824462568225)",46,4450,20,65,24
3200 S ARCHER AVE,CHI144,04/16/2019,46,1165344.912712872,1883513.817021857,41.835958018,-87.668790267,"(41.83595801848586, -87.66879026653764)",26,14920,56,192,26
324 E ILLINOIS ST,CHI126,04/16/2019,1,1178721.705071304,1903728.729069971,41.891134484,-87.61908944,"(41.89113448402406, -87.61908943995478)",22,21182,37,159,36
324 S KEDZIE AVE,CHI123,04/16/2019,8,1155057.768104626,1898246.715441378,41.876598942,-87.706142679,"(41.87659894232968, -87.70614267856668)",11,21572,28,765,23
3450 W 71ST,CHI015,04/16/2019,10,1154377.983623192,1857351.590718894,41.764390957,-87.70972842,"(41.76439095689881, -87.70972841983624)",6,21867,64,383,31
3535 E 95TH ST,CHI140,04/16/2019,5,1201486.255858151,1842590.389225195,41.722818322,-87.537567465,"(41.722818322421595, -87.53756746533104)",47,21202,49,528,47
3542 E 95TH ST,CHI141,04/16/2019,5,1201629.279994198,1842674.179369794,41.72304462,-87.537040758,"(41.72304461975978, -87.5370407583455)",47,21202,49,705,47
3646 W MADISON,CHI009,04/16/2019,39,1151844.874455435,1899804.753327747,41.880938186,-87.717898449,"(41.88093818643283, -87.71789844857646)",11,21572,28,704,23
3655 W JACKSON,CHI008,04/16/2019,19,1151781.484945551,1898394.967222984,41.877070828,-87.718168316,"(41.87707082846323, -87.71816831641307)",11,21572,28,704,23
3843 S WESTERN,CHI007,04/16/2019,73,1161037.665305821,1878964.291316377,41.823563957,-87.684721126,"(41.82356395744577, -87.68472112618639)",29,14924,56,2,1
3911 W DIVERSEY AVE,CHI177,04/16/2019,1,1149782.573407406,1918290.453029553,41.931705097,-87.724989739,"(41.93170509746654, -87.72498973945363)",27,22535,23,107,17
4042 W NORTH AVE,CHI161,04/16/2019,15,1149005.647148129,1910365.150873238,41.909972425,-87.72805041,"(41.90997242450237, -87.72805040969816)",27,22615,24,285,49
4053 W NORTH AVE,CHI159,04/16/2019,10,1148866.623755592,1910281.53833667,41.909745674,-87.728563295,"(41.90974567444195, -87.72856329512945)",27,22615,24,286,49
4123 N CENTRAL AVE,CHI049,04/16/2019,2,1138310.38101538,1926965.395448081,41.955725645,-87.766938123,"(41.95572564479322, -87.76693812345056)",25,22618,15,260,19
4124 W FOSTER AVE,CHI003,04/16/2019,69,1147852.58857067,1934274.994738347,41.975605302,-87.731669795,"(41.97560530194193, -87.73166979484374)",28,21869,13,748,38
4429 N BROADWAY,CHI096,04/16/2019,3,1168597.252171523,1929689.186307646,41.962596549,-87.655517675,"(41.962596548691735, -87.65551767517252)",37,22616,31,241,39
4432 N LINCOLN,CHI056,04/16/2019,1,1160697.51043315,1929507.413867631,41.96226556,-87.684566996,"(41.96226556022151, -87.68456699562915)",13,21849,6,667,18
4433 N WESTERN,CHI055,04/16/2019,9,1159610.141634439,1929516.781948006,41.962313789,-87.688564554,"(41.96231378868856, -87.68856455418805)",13,21849,6,667,18
4436 N WESTERN,CHI094,04/16/2019,1,1159528.872859255,1929555.550585484,41.96242185,-87.688862275,"(41.9624218495406, -87.68886227502836)",13,21849,6,621,18
4446 N BROADWAY,CHI097,04/16/2019,1,1168458.604334415,1929791.618716743,41.962880635,-87.65602445,"(41.96288063517309, -87.6560244499908)",37,22616,31,241,39
445 W 127TH,CHI045,04/16/2019,132,1175468.445851752,1820629.228565181,41.663174059,-87.633520452,"(41.663174059325534, -87.63352045241697)",30,21861,50,7,43
449 N COLUMBUS DR,CHI124,04/16/2019,5,1178428.35425324,1903326.613409231,41.890037755,-87.620179034,"(41.89003775504898, -87.62017903427099)",22,21182,37,159,36
450 N COLUMBUS DR,CHI125,04/16/2019,24,1178351.216208364,1903356.801857411,41.890122353,-87.620461395,"(41.890122352505166, -87.62046139513696)",22,21182,37,159,36
4620 W BELMONT AVE,CHI086,04/16/2019,6,1144830.583591838,1920910.013194031,41.938988391,-87.743121423,"(41.938988390759555, -87.74312142256439)",27,22618,15,115,21
4831 W LAWRENCE AVE,CHI147,04/16/2019,51,1143137.859882784,1931435.232520927,41.967902328,-87.749078977,"(41.96790232791309, -87.74907897663441)",20,21869,15,259,50
4909 N CICERO AVE,CHI149,04/16/2019,84,1143500.84164955,1932251.246745402,41.970134736,-87.747723797,"(41.970134735816295, -87.7477237971432)",28,21869,14,751,38
506 S CENTRAL AVE,CHI130,04/16/2019,3,1139100.738201602,1897035.93011447,41.873581418,-87.764761968,"(41.87358141810132, -87.7647619684764)",52,22216,26,67,7
5120 N PULASKI,CHI004,04/16/2019,33,1148759.385878875,1933817.599837362,41.974332655,-87.728347022,"(41.97433265461055, -87.72834702238127)",28,21869,13,748,38
515 S CENTRAL AVE,CHI057,04/16/2019,7,1139183.475728338,1896944.581182828,41.87332924,-87.764460415,"(41.873329240103914, -87.76446041521123)",52,22216,26,68,7
5330 S COTTAGE GROVE,CHI013,04/16/2019,37,1182452.725004514,1869711.793547827,41.797703886,-87.606444779,"(41.79770388561477, -87.60644477865196)",1,22260,7,401,10
536 E MORGAN DR,CHI029,04/16/2019,136,1180984.656814868,1868164.766433233,41.793492646,-87.61187597,"(41.793492645896656, -87.6118759701359)",53,22260,7,401,4
5420 S RACINE AVE,CHI118,04/16/2019,4,1169208.608674489,1868739.470226128,41.795332775,-87.655040979,"(41.795332774848234, -87.65504097855228)",19,14924,59,790,4
5432 W LAWRENCE,CHI103,04/16/2019,5,1139099.594130043,1931391.06349442,41.96785573,-87.763928644,"(41.96785573012919, -87.76392864369929)",20,21869,11,129,50
5454 W IRVING PARK,CHI050,04/16/2019,19,1139042.659337997,1926097.062423206,41.953329545,-87.764267264,"(41.95332954454448, -87.76426726425451)",25,22618,15,260,19
5471 W HIGGINS,CHI102,04/16/2019,17,1139071.529638349,1931897.937514376,41.969247149,-87.764019451,"(41.96924714863934, -87.76401945149458)",20,21869,11,129,50
57 E 95TH,CHI035,04/16/2019,2,1178586.98154429,1841966.713809109,41.721657133,-87.621462899,"(41.72165713317433, -87.62146289865515)",31,21546,45,567,43
5816 W JACKSON,CHI058,04/16/2019,45,1137564.894528388,1898340.606160034,41.877189405,-87.770369502,"(41.87718940463045, -87.7703695017756)",52,22216,26,67,7
5885 N RIDGE AVE,CHI093,04/16/2019,8,1165004.033252215,1939248.352982784,41.988904472,-87.668455725,"(41.988904472466494, -87.66845572473223)",40,4451,76,539,16
6226 W IRVING PARK RD,CHI083,04/16/2019,25,1133995.169966259,1925971.269149065,41.953074826,-87.782825538,"(41.95307482555687, -87.78282553773761)",25,22254,15,131,19
6247 W FULLERTON,CHI039,04/16/2019,7,1134158.281732405,1915236.510832825,41.923614583,-87.78247949,"(41.9236145831186, -87.78247948955652)",52,22615,19,77,44
6250 W FULLERTON,CHI040,04/16/2019,9,1134113.48240834,1915315.343641525,41.923831699,-87.782642242,"(41.92383169923362, -87.78264224184598)",52,22615,19,78,21
62 E 95TH,CHI036,04/16/2019,5,1178615.953706068,1842047.62197816,41.721878498,-87.621354328,"(41.72187849819265, -87.62135432849777)",31,21546,45,554,43
6514 W BELMONT AVE,CHI106,04/16/2019,7,1132317.345183897,1920604.474994752,41.938377159,-87.789118713,"(41.93837715933998, -87.78911871294291)",39,22254,17,396,44
6523 N WESTERN,CHI051,04/16/2019,19,1159169.452277881,1943341.864659956,42.000259511,-87.689802909,"(42.00025951144952, -87.68980290863908)",42,22528,20,320,27
6818 S KEDZIE,CHI018,04/16/2019,24,1156183.4762995,1859144.993983757,41.769276221,-87.703062595,"(41.769276221338444, -87.70306259506)",6,21867,64,383,31
6909 S KEDZIE,CHI014,04/16/2019,25,1156276.17519456,1858582.894182457,41.767731869,-87.702737907,"(41.76773186901884, -87.70273790708362)",6,21867,64,383,31
